#anno-id:11023
#source:jp.FrameNet
#text:각지에 「뇌 외상 친우회」 및 관련 단체가 결성되어 가는 가운데, 가족 단체의 권고로 장애 연금, 장애인 수첩의 취득률도 오르고 있어, 작년의 해당 단체의 조사에 따르면, 장애인 수첩을 가지고 있지 않은 사람은 약 20%로 나타났다.
0	각지에	_	_	O
1	「뇌	_	_	O
2	외상	_	_	O
3	친우회」	_	_	O
4	및	_	_	O
5	관련	_	_	O
6	단체가	_	_	O
7	결성되어	_	_	O
8	가는	_	_	O
9	가운데,	_	_	O
10	가족	_	_	O
11	단체의	_	_	O
12	권고로	_	_	O
13	장애	_	_	O
14	연금,	_	_	O
15	장애인	_	_	O
16	수첩의	_	_	O
17	취득률도	_	_	O
18	오르고	_	_	O
19	있어,	_	_	O
20	작년의	_	_	B-Time
21	해당	_	_	B-Researcher
22	단체의	_	_	I-Researcher
23	조사에	조사.n	Research	O
24	따르면,	_	_	O
25	장애인	_	_	O
26	수첩을	_	_	O
27	가지고	_	_	O
28	있지	_	_	O
29	않은	_	_	O
30	사람은	_	_	O
31	약	_	_	O
32	20%로	_	_	O
33	나타났다.	_	_	O

#anno-id:11633
#source:jp.FrameNet
#text:가만히 있을 때는, 마음이 흐트러지지 않더라도, 몸을 움직일 때, 자기 자신을 잃게 된다면 곤란합니다.
0	가만히	_	_	O
1	있을	_	_	O
2	때는,	_	_	O
3	마음이	_	_	O
4	흐트러지지	_	_	O
5	않더라도,	_	_	O
6	몸을	_	_	O
7	움직일	_	_	O
8	때,	_	_	O
9	자기	_	_	B-Theme
10	자신을	_	_	I-Theme
11	잃게	잃다.v	Losing_track_of_theme	O
12	된다면	_	_	O
13	곤란합니다.	_	_	O

#anno-id:10537
#source:jp.FrameNet
#text:즐거운 아니마시온 3학년 후미야 1『엘머의 모험』『아기 도깨비』 퀴즈 대작전을 하는 방법을 알아보자.
0	즐거운	_	_	O
1	아니마시온	아니하다.a	Intentionally_act	O
2	3학년	_	_	O
3	후미야	_	_	O
4	1『엘머의	_	_	O
5	모험』『아기	_	_	O
6	도깨비』	_	_	O
7	퀴즈	_	_	O
8	대작전을	_	_	O
9	하는	_	_	O
10	방법을	_	_	O
11	알아보자.	_	_	O

#anno-id:11437
#source:jp.FrameNet
#text:하지만 역시 다카시는 아내를 사랑하고 있었다.
0	하지만	_	_	O
1	역시	_	_	O
2	다카시는	_	_	B-Experiencer
3	아내를	_	_	B-Content
4	사랑하고	사랑하다.v	Experiencer_focus	O
5	있었다.	_	_	O

#anno-id:16375
#source:jp.FrameNet
#text:메이지 17년 7월, 이토히로부미가, 시바의 연료관에서 신화족 수백명을 불러서, 연회를 열 예정이라는 신문기사가, 그들의 눈에 들어왔다.
0	메이지	_	_	B-Phenomenon
1	17년	_	_	I-Phenomenon
2	7월,	_	_	I-Phenomenon
3	이토히로부미가,	_	_	I-Phenomenon
4	시바의	_	_	I-Phenomenon
5	연료관에서	_	_	I-Phenomenon
6	신화족	_	_	I-Phenomenon
7	수백명을	_	_	I-Phenomenon
8	불러서,	_	_	I-Phenomenon
9	연회를	_	_	I-Phenomenon
10	열	_	_	I-Phenomenon
11	예정이라는	_	_	I-Phenomenon
12	신문기사가,	_	_	I-Phenomenon
13	그들의	_	_	B-Perceiver_passive
14	눈에	눈.n	Perception_experience	O
15	들어왔다.	_	_	O

#anno-id:16467
#source:jp.FrameNet
#text:문제는 누가 사장을 하고, 누가 사장 대리를 하느냐 하는 점이었다.
0	문제는	_	_	O
1	누가	_	_	B-Agent
2	사장을	_	_	B-Act
3	하고,	하다.a	Intentionally_act	O
4	누가	_	_	O
5	사장	_	_	O
6	대리를	_	_	O
7	하느냐	_	_	O
8	하는	_	_	O
9	점이었다.	_	_	O

#anno-id:10779
#source:jp.FrameNet
#text:그 후, 자가용 조종사 면허, 사업용 조종사 면허, 일절 바깥을 보지 않고 계기만 보고 비행하는 계기 비행증명, 쌍발 이상의 엔진을 지닌 비행기를 조종하는 육상다발기 등의 기본적인 면허를 약 4년간, 비행시간은 약 3백 수십 시간 훈련받고 취득한다.
0	그	_	_	O
1	후,	_	_	O
2	자가용	_	_	O
3	조종사	_	_	O
4	면허,	_	_	O
5	사업용	_	_	O
6	조종사	_	_	O
7	면허,	_	_	O
8	일절	_	_	O
9	바깥을	_	_	O
10	보지	_	_	O
11	않고	_	_	O
12	계기만	_	_	O
13	보고	_	_	O
14	비행하는	_	_	O
15	계기	_	_	O
16	비행증명,	_	_	O
17	쌍발	_	_	B-Event
18	이상의	_	_	I-Event
19	엔진을	_	_	I-Event
20	지닌	_	_	I-Event
21	비행기를	_	_	I-Event
22	조종하는	조종하다.v	Capability	I-Event
23	육상다발기	_	_	O
24	등의	_	_	O
25	기본적인	_	_	O
26	면허를	_	_	O
27	약	_	_	O
28	4년간,	_	_	O
29	비행시간은	_	_	O
30	약	_	_	O
31	3백	_	_	O
32	수십	_	_	O
33	시간	_	_	O
34	훈련받고	_	_	O
35	취득한다.	_	_	O

#anno-id:11202
#source:jp.FrameNet
#text:있는 그대로의 작은 산이 해상에서도 바라다보인다.
0	있는	_	_	O
1	그대로의	_	_	O
2	작은	_	_	B-Figure
3	산이	_	_	I-Figure
4	해상에서도	해상.n	Locative_relation	B-Ground
5	바라다보인다.	_	_	I-Ground

#anno-id:16275
#source:jp.FrameNet
#text:강연회 후에, 관계자가 참여하는 실제 사례 검토회 등을 열면, 관계자의 역량과 현장 실정도 파악할 수 있습니다.
0	강연회	_	_	O
1	후에,	_	_	O
2	관계자가	_	_	O
3	참여하는	_	_	O
4	실제	_	_	O
5	사례	_	_	O
6	검토회	_	_	O
7	등을	_	_	O
8	열면,	_	_	O
9	관계자의	_	_	B-Protagonist
10	역량과	역량.n	Expertise	O
11	현장	_	_	O
12	실정도	_	_	O
13	파악할	_	_	O
14	수	_	_	O
15	있습니다.	_	_	O

#anno-id:11554
#source:jp.FrameNet
#text:「잊어버릴 리가 없지」 사라는 똑바로 로건을 쳐다보았다.
0	「잊어버릴	_	_	O
1	리가	_	_	O
2	없지」	_	_	O
3	사라는	_	_	O
4	똑바로	_	_	O
5	로건을	_	_	O
6	쳐다보았다.	쳐다보다.v	Perception_active	O

#anno-id:10742
#source:jp.FrameNet
#text:그렇다고는 하지만 집에 있는 건 주말이라는 한정된 시간뿐이므로, 기껏 식사 후의 뒷정리나, 이따금 음식 만드는 것을 돕는 정도다.
0	그렇다고는	_	_	O
1	하지만	_	_	O
2	집에	_	_	O
3	있는	_	_	O
4	건	_	_	O
5	주말이라는	_	_	B-Duration
6	한정된	_	_	I-Duration
7	시간뿐이므로,	시간.n	Timespan	O
8	기껏	_	_	O
9	식사	_	_	O
10	후의	_	_	O
11	뒷정리나,	_	_	O
12	이따금	_	_	O
13	음식	_	_	O
14	만드는	_	_	O
15	것을	_	_	O
16	돕는	_	_	O
17	정도다.	_	_	O

#anno-id:12154
#source:jp.FrameNet
#text:빗발은 거세지고 있었다.
0	빗발은	빗발.n	Precipitation	B-Precipitation
